wth: ['වත්', 'වෙත', 'වාත']
mma: ['මාමා', 'මෙම', 'මම']
mll: ['මල්ල', 'මල්ලී', 'මලල']
mlu: ['මාළු', 'මලු', 'මාලු']
min: ['මින්', 'මිනී', 'මිණ']
mhth: ['මහත්', 'මොහොත', 'මහතා']
mhth: ['මහත්', 'මොහොත', 'මහත']
me: ['මේ', 'මෙ', 'මී']
mey: ['මෙය', 'මේ', 'මීය']
matha: ['මාතා', 'මාත', 'මත']
mana: ['මම', 'මනා', 'මාන']
mam: ['මන්', 'මාමා', 'මම']
malu: ['මාලු', 'මලු', 'මාළු']
mall: ['මල්ලී', 'මලල', 'මල්ල']
mah: ['මහී', 'මහා', 'මහ']
lk: ['ලෝක', 'ලක්', 'ලේඛ']
ktuw: ['කොටුව', 'කැටුව', 'කටුව']
ktuwa: ['කැටුව', 'කොටුව', 'කටුව']
ks: ['කොස්', 'කසා', 'කෙසේ']
ks: ['කොස්', 'කසා', 'කෙස්']
klin: ['කෙලින්', 'කලින්', 'කෙළින්']
kll: ['කෙල්ල', 'කෑල්ල', 'කොල්ලා']
klla: ['කෑල්ල', 'කොල්ලා', 'කෙල්ල']
kel: ['කැලෑ', 'කෙළ', 'කැල']
katha: ['කැත', 'කථා', 'කත']
kar: ['කාර්', 'කර', 'කරා']
kand: ['කඳ', 'කන්ද', 'ඛණ්ඩ']
kanda: ['කඳ', 'ඛණ්ඩ', 'කන්ද']
kali: ['කෑලි', 'කාලි', 'කලි']
ht: ['හට', 'හොට', 'හැට']
hth: ['හත', 'හොත්', 'හත්']
hta: ['හට', 'හොට', 'හැට']
hrn: ['හොරෙන්', 'හාරන', 'හැරෙන']
hm: ['හැම', 'හේම', 'හම']
hm: ['හැම', 'හේම', 'හම්']
hma: ['හේම', 'හම', 'හැම']
hen: ['හේන්', 'හීන', 'හීන්']
hday: ['හෘදය', 'හැඩය', 'හාදයා']
hdaya: ['හාදයා', 'හැඩය', 'හෘදය']
hdy: ['හාදයා', 'හෘදය', 'හැඩය']
hdya: ['හාදයා', 'හෘදය', 'හැඩය']
hand: ['හඳ', 'හඬ', 'හන්දා']
handa: ['හඬ', 'හඳ', 'හන්දා']
had: ['හද', 'හාද', 'හඩ']
hada: ['හාද', 'හද', 'හඩ']
g: ['ගේ', 'ගී', 'ගෝ']
gya: ['ගීය', 'ගිය', 'ගෙය']
gnn: ['ගොන්න', 'ඥාන', 'ගණන']
gnn: ['ගොන්න', 'ඥාන', 'ගණනේ']
gnn: ['ගොන්න', 'ඥාන', 'ගණන්']
gnna: ['ගණන', 'ගොන්න', 'ඥාන']
gs: ['ගස', 'ගෑස්', 'ගොස්']
gs: ['ගස', 'ගෑස්', 'ගොස']
e: ['එ', 'ඊ', 'ඒ']
ey: ['ඇය', 'එය', 'ඊයේ']
ey: ['ඇය', 'එය', 'ඊය']
eya: ['එය', 'ඇය', 'ඊය']
em: ['එම', 'ඇම', 'ඒම']
ema: ['ඇම', 'එම', 'ඒම']
ek: ['එක්', 'එකී', 'එක']
ek: ['එක්', 'එකී', 'එකා']
eh: ['එහා', 'එහි', 'ඇහැ']
dwa: ['දැව', 'දේව', 'දේවා']
dr: ['දොර', 'දර', 'දාර']
dra: ['දොර', 'දර', 'දාර']
dha: ['ද', 'දහ', 'දාහ']
de: ['දේ', 'දී', 'දෙ']
dewa: ['දැව', 'දේව', 'දේවා']
dena: ['දැන', 'දෙන', 'දෙනා']
da: ['දා', 'ද', 'ඩා']
dan: ['දාන', 'දණ', 'දන්']
dan: ['දාන', 'දණ', 'දන']
dana: ['දාන', 'දන', 'දණ']
bw: ['බැව්', 'බව', 'බාව']
bs: ['බාස්', 'බස', 'බේස්']
bn: ['බණ', 'බාන', 'බෑණා']
bna: ['බාන', 'බණ', 'බෑණා']
bll: ['බෙල්ල', 'බල්ලා', 'බල්ල']
blla: ['බල්ලා', 'බෙල්ල', 'බල්ල']
bla: ['බාල', 'බොල', 'බල']
bhu: ['බහු', 'බාහු', 'භූ']
ber: ['බීර', 'බේරී', 'බෙර']
bera: ['බීර', 'බෙර', 'බර']
bana: ['බණ', 'බාන', 'බව']
ball: ['බොල්', 'බල්ලා', 'බල්ල']
bdu: ['බදු', 'බඩු', 'බොදු']
aththa: ['අතීත', 'අත්ත', 'ඇත්ත']
apa: ['එපා', 'අපා', 'අප']
an: ['අන්', 'අනේ', 'අණ']
ank: ['අංක', 'අනේක', 'අනෙක']
ank: ['අංක', 'අනේක', 'අනෙක්']
anka: ['අනෙක', 'අනේක', 'අංක']
anda: ['අඬ', 'අඳ', 'ඇඳ']
al: ['අල', 'අල්', 'ආල']
ala: ['එල', 'අල', 'ආල']
ad: ['ආදී', 'අද', 'අඩ']
